SQL_Statement,Modified_Statements,Syntax_Error_sdss,Missing_type_sdss,Missing_word_sdss,Missing Element(Generalization),Missing_position_sdss
"SELECT DISTINCT s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=1813 AND s.mjd=53903 AND s.fiberid=421)"," DISTINCT s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=1813 AND s.mjd=53903 AND s.fiberid=421)",YES,Missing Keyword,SELECT,SELECT,1
"SET PARSEONLY ON select top 10 objid,ra,dec,mode,clean,type,u,g,r,i,z into mydb.mytestv3 from photoobj 
where type = 0","SET PARSEONLY ON select top 10 objid,ra,dec,mode,clean,type,u,g,r,i,z into mydb.mytestv3 from  
where type = 0",YES,Missing Table,photoobj,Table Name,21
EXEC sp_helpdb @dbname= 'DemocratizingData_USDA',EXEC sp_helpdb @dbname= 'DemocratizingData_USDA',NO,N/A,N/A,N/A,0
"SELECT TOP 1_x000D_
 s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, p.calibStatus_r, s.z, s.zErr, s.zWarning, s.class, s.z_noqso, s.zErr_noqso, s.zWarning_noqso, s.velDisp, s.velDispErr, s.velDispZ, s.velDispZErr, s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, p.expPhi_r, p.psfFlux_r_x000D_
FROM PhotoObjAll AS p_x000D_
 JOIN SpecObjAll AS s ON s.bestobjid = p.objid JOIN PlateX AS px on px.plateID = s.plateID_x000D_
WHERE _x000D_
 s.scienceprimary = 1_x000D_
 AND s.ra BETWEEN 351.1757441926667 AND 351.17741085933335_x000D_
 AND s.dec BETWEEN 14.607969033866667 AND 14.609635700533332_x000D_","SELECT TOP 1_x000D_
 s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, p.calibStatus_r, s.z, s.zErr, s.zWarning, s.class, s.z_noqso, s.zErr_noqso, s.zWarning_noqso, s.velDisp, s.velDispErr, s.velDispZ, s.velDispZErr, s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, p.expPhi_r, p.psfFlux_r_x000D_
FROM PhotoObjAll AS p_x000D_
 JOIN SpecObjAll AS s ON s.bestobjid = p.objid JOIN  AS px on px.plateID = s.plateID_x000D_
WHERE _x000D_
 s.scienceprimary = 1_x000D_
 AND s.ra BETWEEN 351.1757441926667 AND 351.17741085933335_x000D_
 AND s.dec BETWEEN 14.607969033866667 AND 14.609635700533332_x000D_",YES,Missing Table,PlateX(table name),Table Name,84
" SELECT TOP 10 * FROM Star WHERE ra >= 60 AND ra <= 70 AND dec >= 10 AND run = 3557"," SELECT TOP 10  FROM Star WHERE ra >= 60 AND ra <= 70 AND dec >= 10 AND run = 3557",YES,Missing Column,*(column name),Column Name,4
"select top 1 objid, z, zerr, photoerrorclass from photoz where objid=1237679460286399613","select top  objid, z, zerr, photoerrorclass from photoz where objid=1237679460286399613",YES,Missing Value,1(value),Value,3
"DECLARE @MaxZSep float set @MaxZSep=0.001; 
DECLARE @MaxZ float set @MaxZ=0.0576502;
DECLARE @ConvFact float set @ConvFact=3437.746771; 
DECLARE @IsoDistMPC float set @IsoDistMPC=0.05; 
DECLARE @Coef float set @Coef=@IsoDistMPC*@ConvFact 
SELECT mga.plateifu, mga.objra AS MGS_ra, mga.objdec AS MGS_dec, mga.nsa_z as MGS_z, n.objid as NGB_Id, n.distance as NGB_DistAM, ABS(mga.nsa_z-s.z) as Zsep, p.ra AS NGB_ra, p.dec AS NGB_dec, s.z as NGB_z, s.zWarning, s.class, s.subClass, ms.logMass_noMassLoss
FROM MyDB.MaNGA_Sources AS mga
  OUTER APPLY dbo.fGetNearbyObjEq(mga.objra, mga.objdec, @Coef/dbo.fCosmoDa(mga.nsa_z,0.27,0.73,0,-1,0.73)) AS n
LEFT JOIN PhotoObj AS p ON n.objid=p.objid
LEFT JOIN SpecObj s ON n.objid=s.bestObjID
LEFT JOIN stellarMassStarformingPort ms ON ms.specObjID = s.specObjID
WHERE mga.nsa_z > 0
AND (s.class = 'GALAXY' OR s.class = 'QSO') 
ORDER BY mga.plateifu","DECLARE @MaxZSep float set @MaxZSep=0.001; 
DECLARE @MaxZ float set @MaxZ=0.0576502;
DECLARE @ConvFact float set @ConvFact=3437.746771; 
DECLARE @IsoDistMPC float set @IsoDistMPC=0.05; 
DECLARE @Coef float set @Coef=@IsoDistMPC*@ConvFact 
SELECT mga.plateifu, mga.objra AS MGS_ra, mga.objdec AS MGS_dec, mga.nsa_z as MGS_z, n.objid as NGB_Id, n.distance as NGB_DistAM, ABS(mga.nsa_z-s.z) as Zsep, p.ra AS NGB_ra, p.dec AS NGB_dec, s.z as NGB_z, s.zWarning, s.class, s.subClass, ms.logMass_noMassLoss
FROM  AS mga
  OUTER APPLY dbo.fGetNearbyObjEq(mga.objra, mga.objdec, @Coef/dbo.fCosmoDa(mga.nsa_z,0.27,0.73,0,-1,0.73)) AS n
LEFT JOIN PhotoObj AS p ON n.objid=p.objid
LEFT JOIN SpecObj s ON n.objid=s.bestObjID
LEFT JOIN stellarMassStarformingPort ms ON ms.specObjID = s.specObjID
WHERE mga.nsa_z > 0
AND (s.class = 'GALAXY' OR s.class = 'QSO') 
ORDER BY mga.plateifu",YES,Missing Table,table name,Table Name,60
"SELECT
    DB_NAME() AS [database_name],
    CONCAT(CAST(SUM(
        CAST( (size * 8.0/1024) AS DECIMAL(15,2) )
    ) AS VARCHAR(20)),' MB') AS [database_size]
FROM sys.database_files;","SELECT
    DB_NAME() AS [database_name],
    CONCAT(CAST(SUM(
        CAST( (size * 8.0/1024) AS DECIMAL(15,2) )
    ) AS VARCHAR(20)),' MB') AS [database_size]
FROM sys.database_files;",NO,N/A,N/A,N/A,0
"SET PARSEONLY ON Select top 15 objid,ra,dec,clean,mode into mydb.mytestv1 from photoobj","SET PARSEONLY ON Select top 15 objid,ra,dec,,mode into mydb.mytestv1 from photoobj",YES,Missing Column,clean,Column Name,9
select dbo.fGetUrlFitsSpectrum(6628219032322725888) as url,select dbo.fGetUrlFitsSpectrum(6628219032322725888) as url,NO,N/A,N/A,N/A,0
