SQL_Statement,Modified_Statements,Syntax_Error_sqlshare,Is there any missing word,Missing_type_sqlshare,Missing_word_sqlshare,Missing Word(Generalization),Missing_position_sqlshare
"SELECT  SUM(cnt) FROM ( SELECT  z, COUNT(DISTINCT x) AS cnt FROM ( SELECT a.follower AS x ,  b.followee AS z FROM  [354].[twitter_rv.6157841] a JOIN  [354].[twitter_rv.6157841] b ON a.followee = b.follower ) joined WHERE  z < 4000 GROUP BY  z --OPTION (MERGE JOIN ,  ORDER GROUP) ) joined_distinct","SELECT  SUM(cnt) FROM ( SELECT  z, COUNT(DISTINCT x) AS cnt FROM ( SELECT a.follower AS x ,  b.followee AS z FROM  [354].[twitter_rv.6157841] a JOIN  [354].[twitter_rv.6157841] b ON a.followee  b.follower ) joined WHERE  z < 4000 GROUP BY  z --OPTION (MERGE JOIN ,  ORDER GROUP) ) joined_distinct",YES,YES,Missing Comparison,=',Comparison Operator,36
"WITH  pop AS (SELECT  [time],  [pop],  log([fsc_small],  10) as [fsc_small] FROM  [1059].[STATS_VIEW]) SELECT  * FROM  pop PIVOT ( SUM([fsc_small]) FOR  [pop] in ([beads],  [picoeuk],  [prochloro],  [synecho],  [pennates],  [unknown]) ) as pivot_table","WITH  pop AS (SELECT  [time],  [pop],  log([fsc_small],  10) as [fsc_small] FROM  [1059].[STATS_VIEW]) SELECT  *   pop PIVOT ( SUM([fsc_small]) FOR  [pop] in ([beads],  [picoeuk],  [prochloro],  [synecho],  [pennates],  [unknown]) ) as pivot_table",YES,YES,Missing Keyword,FROM,FROM,15
"create table Article (pubid int primary key,  journal text,  month text,  volume text,  number text)","create table Article (pubid int primary key,  journal text,  month text,  volume text,  number text)",NO,NO,N/A,N/A,N/A,0
"SELECT  * max(salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE  job_title like '%RESEAR%SR' AND  job_title not like '%APL%' AND  salary > 100000 ORDER BY  salary desc","SELECT  *, max(salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE  job_title like '%RESEAR%SR' AND  job_title not like '%APL%' AND  salary  100000 ORDER BY  salary desc",YES,YES,Missing Comparison,>,Comparison Operator,38
"SELECT  ROW_NUMBER() OVER (PARTITION BY TAIL_NUM ORDER BY  YEAR,  MONTH,  DAY_OF_MONTH,  ARR_TIME) ID,  ORIGIN,  DEST,  TAIL_NUM,  FL_NUM, DATEFROMPARTS(YEAR,  MONTH,  DAY_OF_MONTH) DATE, CARRIER,  DEP_TIME,  ARR_TIME,  DISTANCE,  AIR_TIME FROM  [372].[flights09] WHERE  TAIL_NUM != ''","SELECT  ROW_NUMBER() OVER (PARTITION BY TAIL_NUM ORDER BY  YEAR,  MONTH,  DAY_OF_MONTH,  ARR_TIME) ID,  ORIGIN,  DEST,  TAIL_NUM,  FL_NUM, DATEFROMPARTS(YEAR,  MONTH,  DAY_OF_MONTH) DATE, CARRIER,  DEP_TIME,  ARR_TIME,  DISTANCE,  AIR_TIME FROM  [372].[flights09] WHERE   != ''",YES,YES,Missing Column,TAIL_NUM,Column Name,6
"SELECT max(salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE  job_title like '%RESEAR%SR' --AND  job_title not like '%APL%' --AND  salary > 100000 ORDER BY  salary desc","SELECT max(salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  ) x WHERE  job_title like '%RESEAR%SR' --AND  job_title not like '%APL%' --AND  salary > 100000 ORDER BY  salary desc",YES,YES,Missing Table," [1314howe].[uw_salaries_2011.txt]",Table Name,23
"SELECT  [All Proteins], SUM (numuniquepepsCG242_01+numuniquepepsCG242_02+numuniquepepsCG242_03) AS [CG242 unique peps sum] FROM  [412].[Oyster 242 spec counts] GROUP BY  [All Proteins]","SELECT  [All Proteins], SUM (numuniquepepsCG242_01+numuniquepepsCG242_02+numuniquepepsCG242_03) AS [CG242 unique peps sum] FROM  [412].[Oyster 242 spec counts] GROUP BY  ",YES,YES,Missing Column,[All Proteins],Column Name,15
SELECT  * FROM  [446].[LineP_CAMERA_annotation] WHERE  Function_1 LIKE 'iron',"  * FROM  [446].[LineP_CAMERA_annotation] WHERE  Function_1 LIKE 'iron'",YES,YES,Missing Keyword,SELECT,SELECT,1
"SELECT  iron.Station,  protein.Station FROM [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] iron ,  [446].[Iron-related_Proteins] protein WHERE  iron.Station != protein.Station","SELECT iron.Station ,  protein.Station FROM [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] iron ,  [446].[Iron-related_Proteins] protein WHERE   != protein.Station",YES,YES,Missing Column,iron.Station,Column Name,11
"SELECT  [PeptideSequence],  SUM([2_01 TotalArea]) AS CG2_01,  SUM([2_02 TotalArea]) AS CG2_02,  SUM([2_03 TotalArea]) AS CG2_03,  SUM([5_01 TotalArea]) AS CG5_01,  SUM([5_02 TotalArea]) AS CG5_02,  SUM([5_03 TotalArea]) AS CG5_03,  SUM([8_01 TotalArea]) AS CG8_01,  SUM([8_02 TotalArea]) AS CG8_02,  SUM([8_03 TotalArea]) AS CG8_03,  SUM([11_01 TotalArea]) AS CG11_01,  SUM([11_02 TotalArea]) AS CG11_02,  SUM([11_03 TotalArea]) AS CG11_03,   SUM([26_01 TotalArea]) AS CG26_01,  SUM([26_02 TotalArea]) AS CG26_02,  SUM([26_03 TotalArea]) AS CG26_03,  SUM([29_01 TotalArea]) AS CG29_01,  SUM([29_02 TotalArea]) AS CG29_02,  SUM([29_03 TotalArea]) AS CG29_03,  SUM([32_01 TotalArea]) AS CG32_01,  SUM([32_02 TotalArea]) AS CG32_02,  SUM([32_03 TotalArea]) AS CG32_03,  SUM([35_01 TotalArea]) AS CG35_01,  SUM([35_02 TotalArea]) AS CG35_02,  SUM([35_03 TotalArea]) AS CG35_03,  SUM([221_01 TotalArea]) AS CG221_01,  SUM([221_02 TotalArea]) AS CG221_02,  SUM([221_03 TotalArea]) AS CG221_03,  SUM([224_01 TotalArea]) AS CG224_01,  SUM([224_02 TotalArea]) AS CG224_02,  SUM([224_03 TotalArea]) AS CG224_03,  SUM([227_01 TotalArea]) AS CG227_01,  SUM([227_02 TotalArea]) AS CG227_02,  SUM([227_03 TotalArea]) AS CG227_03,  SUM([230_01 TotalArea]) AS CG230_01,  SUM([230_02 TotalArea]) AS CG230_02,  SUM([230_03 TotalArea]) AS CG230_03, SUM([242_01 TotalArea]) AS CG242_01,  SUM([242_02 TotalArea]) AS CG242_02,  SUM([242_03 TotalArea]) AS CG242_03,  SUM([245_01 TotalArea]) AS CG245_01,  SUM([245_02 TotalArea]) AS CG245_02,  SUM([245_03 TotalArea]) AS CG245_03,  SUM([248_01 TotalArea]) AS CG248_01,  SUM([248_02 TotalArea]) AS CG248_02,  SUM([248_03 TotalArea]) AS CG248_03,  SUM([251_01 TotalArea]) AS CG251_01,  SUM([251_02 TotalArea]) AS CG251_02,  SUM([251_03 TotalArea]) AS CG251_03 FROM  [412].[pep peak areas all oysters2.txt] GROUP BY  [PeptideSequence]","SELECT  [PeptideSequence] ,  SUM([2_01 TotalArea]) AS CG2_01,  SUM([2_02 TotalArea]) AS CG2_02,  SUM([2_03 TotalArea]) AS CG2_03,  SUM([5_01 TotalArea]) AS CG5_01,  SUM([5_02 TotalArea]) AS CG5_02,  SUM([5_03 TotalArea]) AS CG5_03,  SUM([8_01 TotalArea]) AS CG8_01,  SUM([8_02 TotalArea]) AS CG8_02,  SUM([8_03 TotalArea]) AS CG8_03,  SUM([11_01 TotalArea]) AS CG11_01,  SUM([11_02 TotalArea]) AS CG11_02,  SUM([11_03 TotalArea]) AS CG11_03,   SUM([26_01 TotalArea]) AS CG26_01,  SUM([26_02 TotalArea]) AS CG26_02,  SUM([26_03 TotalArea]) AS CG26_03,  SUM([29_01 TotalArea]) AS CG29_01,  SUM([29_02 TotalArea]) AS CG29_02,  SUM([29_03 TotalArea]) AS CG29_03,  SUM([32_01 TotalArea]) AS CG32_01,  SUM([32_02 TotalArea]) AS CG32_02,  SUM([32_03 TotalArea]) AS CG32_03,  SUM([35_01 TotalArea]) AS CG35_01,  SUM([35_02 TotalArea]) AS CG35_02,  SUM([35_03 TotalArea]) AS CG35_03,  SUM([221_01 TotalArea]) AS CG221_01,  SUM([221_02 TotalArea]) AS CG221_02,  SUM([221_03 TotalArea]) AS CG221_03,  SUM([224_01 TotalArea]) AS CG224_01,  SUM([224_02 TotalArea]) AS CG224_02,  SUM([224_03 TotalArea]) AS CG224_03,  SUM([227_01 TotalArea]) AS CG227_01,  SUM([227_02 TotalArea]) AS CG227_02,  SUM([227_03 TotalArea]) AS CG227_03,  SUM([230_01 TotalArea]) AS CG230_01,  SUM([230_02 TotalArea]) AS CG230_02,  SUM([230_03 TotalArea]) AS CG230_03, SUM([242_01 TotalArea]) AS CG242_01,  SUM([242_02 TotalArea]) AS CG242_02,  SUM([242_03 TotalArea]) AS CG242_03,  SUM([245_01 TotalArea]) AS CG245_01,  SUM([245_02 TotalArea]) AS CG245_02,  SUM([245_03 TotalArea]) AS CG245_03,  SUM([248_01 TotalArea]) AS CG248_01,  SUM([248_02 TotalArea]) AS CG248_02,  SUM([248_03 TotalArea]) AS CG248_03,  SUM([251_01 TotalArea]) AS CG251_01,  SUM([251_02 TotalArea]) AS CG251_02,  SUM([251_03 TotalArea]) AS CG251_03 FROM  [412].[pep peak areas all oysters2.txt] GROUP BY   ",YES,YES,Missing Table,[PeptideSequence],Table Name,203
"SELECT CGI_ID, GOslim_bin FROM  [1123].[Cgigas-DEGlist-sql]deg left join [1123].[qDOD_Cgigas_GOslim_DISTINCT]sl on deg.baseMean=sl.CGI_ID","SELECT , GOslim_bin FROM  [1123].[Cgigas-DEGlist-sql]deg left join [1123].[qDOD_Cgigas_GOslim_DISTINCT]sl on deg.baseMean=sl.CGI_ID",YES,YES,Missing Column,CGI_ID,Column Name,2
"SELECT  InterproEntry,  count(*) InterproIdHits  FROM  [826].[Ox_Fracy_uniqueIPRsperprotein] group by InterproEntry order by InterproIdHits DESC","SELECT  InterproEntry,  count(*) InterproIdHits  FROM  [826].[Ox_Fracy_uniqueIPRsperprotein] group by InterproEntry order by InterproIdHits",YES,YES,Missing Keyword,DESC,DESC,13
"SELECT  geneDesc.* ,  methRatio.MethRatio FROM  [354].[TJGR_Gene_SPID_evalue_Description.txt] geneDesc ,  [354].[methylation_ratio_CG_gene] methRatio WHERE  geneDesc.Column1 = SUBSTRING(methRatio.GroupID,  CHARINDEX('CGI',  methRatio.GroupID),  LEN(methRatio.GroupID))","SELECT  geneDesc.* ,  methRatio.MethRatio FROM  [354].[TJGR_Gene_SPID_evalue_Description.txt] geneDesc ,  [354].[methylation_ratio_CG_gene] methRatio WHERE  geneDesc.Column1 = SUBSTRING(methRatio.GroupID,  CHARINDEX('CGI',  methRatio.GroupID),  LEN(methRatio.GroupID))",NO,NO,N/A,N/A,N/A,0
"SELECT  * FROM  [1052].[Pile Point Currents 00-11.txt] maxebb ,  [1052].[Pile Point Currents 00-11.txt] slackebb WHERE  maxebb.date = slackebb.date AND  maxebb.current_intensity = 'Max Ebb' AND  slackebb.current_intensity like '%Slack%'","SELECT  * FROM  [1052].[Pile Point Currents 00-11.txt] maxebb ,  [1052].[Pile Point Currents 00-11.txt] slackebb WHERE  maxebb.date = slackebb.date AND  maxebb.current_intensity = 'Max Ebb' AND  slackebb.current_intensity '%Slack%'",YES,YES,Missing Keyword,LIKE,LIKE,26
"SELECT  x, y, z FROM  [1267].[table_1A17_3.csv] WHERE  res_surface_area_ratio > 0.4","SELECT  x, y, z FROM  [1267].[table_1A17_3.csv] WHERE  res_surface_area_ratio > 0.4",NO,NO,N/A,N/A,N/A,0
"SELECT  t1.[Isolate ID],  t2.[Isolate ID],  t1.[Arc1327e Box],  t2.[Arc1327e Box] FROM  [table_t01_30Aug.csv] t1 join [table_t02_30Aug_1.csv] t2 on (t1.[Isolate ID] = t2.[Isolate ID]) where t1.[Isolate ID] <> ' ' and t2.[Isolate ID] <> ' '","SELECT  t1.[Isolate ID],  t2.[Isolate ID],  t1.[Arc1327e Box],  t2.[Arc1327e Box] FROM  [table_t01_30Aug.csv] t1 join [table_t02_30Aug_1.csv] t2 on (t1.[Isolate ID] = t2.[Isolate ID]) t1.[Isolate ID] <> ' ' and t2.[Isolate ID] <> ' '",YES,YES,Missing Keyword,WHERE,WHERE,27
