SQL Statement,Modified_Statement,Original,Error_Category
"SELECT  SUM(cnt) FROM ( SELECT  z, COUNT(DISTINCT x) AS cnt FROM ( SELECT a.follower AS x ,  b.followee AS z FROM  [354].[twitter_rv.6157841] a JOIN  [354].[twitter_rv.6157841] b ON a.followee = b.follower ) joined WHERE  z < 4000 GROUP BY  z --OPTION (MERGE JOIN ,  ORDER GROUP) ) joined_distinct","SELECT SUM(cnt)
FROM (
    SELECT z, COUNT(DISTINCT x) AS cnt
    FROM (
        SELECT a.follower AS x, b.followee AS z
        FROM [354].[twitter_rv.6157841] a
        JOIN [354].[twitter_rv.6157841] b ON a.followee = b.follower
    ) joined
    WHERE z < 4000
    GROUP BY z
    --OPTION (MERGE JOIN, ORDER GROUP)
) joined_distinct
WHERE joined_distinct.z = joined.z;  ",YES,alias-ambiguous
"WITH  pop AS (SELECT  [time],  [pop],  log([fsc_small],  10) as [fsc_small] FROM  [1059].[STATS_VIEW]) SELECT  * FROM  pop PIVOT ( SUM([fsc_small]) FOR  [pop] in ([beads],  [picoeuk],  [prochloro],  [synecho],  [pennates],  [unkNOwn]) ) as pivot_table","WITH pop AS (
    SELECT [time], [pop], log([fsc_small], 10) AS [fsc_small]
    FROM [1059].[STATS_VIEW]
)
SELECT *
FROM pop
PIVOT (
    SUM([fsc_small]) FOR [pop] IN ([beads], [picoeuk], [prochloro], [synecho], [pennates], [unkNOwn])
) AS pivot_table
WHERE pop.pop = pivot_table.pop; -- Incorrectly referencing 'pop.pop' outside its scope in the WHERE clause, introducing an alias ambiguity.",YES,alias-ambiguous
"create table Article (pubid int primary key,  journal text,  month text,  volume text,  number text)","create table Article (pubid int primary key,  journal text,  month text,  volume text,  number text)",NO,NO Error
"SELECT  * max(salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE  job_title like '%RESEAR%SR' AND  job_title NOt like '%APL%' AND  salary > 100000 ORDER BY  salary desc","SELECT 
  MAX(salary) AS max_salary, 
  MIN(salary) AS min_salary, 
  AVG(salary) AS avg_salary, 
  COUNT(*) AS total_count
FROM  
  (SELECT 
     Name, 
     [Job Title] AS job_title, 
     [2010 Gross Earnings] AS salary 
   FROM [1314howe].[uw_salaries_2011.txt]
  ) x 
WHERE 
  job_title LIKE '%RESEAR%SR' 
  AND job_title NOT LIKE '%APL%' 
  AND salary > 100000 
ORDER BY x.salary DESC;  -- Ambiguous use of 'x.salary' when 'x' is NOt necessary and could confuse the parser or reader.",YES,alias-ambiguous
"SELECT  ROW_NUMBER() OVER (PARTITION BY TAIL_NUM ORDER BY  YEAR,  MONTH,  DAY_OF_MONTH,  ARR_TIME) ID,  ORIGIN,  DEST,  TAIL_NUM,  FL_NUM, DATEFROMPARTS(YEAR,  MONTH,  DAY_OF_MONTH) DATE, CARRIER,  DEP_TIME,  ARR_TIME,  DISTANCE,  AIR_TIME FROM  [372].[flights09] WHERE  TAIL_NUM != ''","SELECT  ROW_NUMBER() OVER (PARTITION BY TAIL_NUM ORDER BY  YEAR,  MONTH,  DAY_OF_MONTH,  ARR_TIME) AS ID, 
        ORIGIN, 
        DEST, 
        TAIL_NUM, 
        FL_NUM, 
        DATEFROMPARTS(YEAR,  MONTH,  DAY_OF_MONTH) AS DATE, 
        CARRIER,  
        DEP_TIME, 
        ARR_TIME, 
        DISTANCE, 
        AIR_TIME 
FROM [372].[flights09] 
WHERE TAIL_NUM != ''
HAVING COUNT(*) > 10;",YES,aggr-having
"SELECT max(salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE  job_title like '%RESEAR%SR' --AND  job_title NOt like '%APL%' --AND  salary > 100000 ORDER BY  salary desc","SELECT max(salary),  min(name),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE  job_title like '%RESEAR%SR' --AND  job_title NOt like '%APL%' --AND  salary > 100000 ORDER BY  salary desc",YES,type-mismatch-condition
"SELECT  [All Proteins], SUM(numuniquepepsCG242_01+numuniquepepsCG242_02+numuniquepepsCG242_03) AS [CG242 unique peps sum] FROM  [412].[Oyster 242 spec counts] GROUP BY  [All Proteins]","SELECT  [All Proteins],
        SUM(numuniquepepsCG242_01 + numuniquepepsCG242_02 + numuniquepepsCG242_03) AS [CG242 unique peps sum],
        numuniquepepsCG242_01  -- NOn-aggregated column added to create an error
FROM  [412].[Oyster 242 spec counts]
GROUP BY  [All Proteins]",YES,aggr-attribute
SELECT  * FROM  [446].[LineP_CAMERA_anNOtation] WHERE  Function_1 LIKE 'iron',SELECT  * FROM  [446].[LineP_CAMERA_anNOtation] WHERE  Function_1 LIKE 'iron',NO,NO Error
"SELECT  iron.Station,  protein.Station FROM [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] iron ,  [446].[Iron-related_Proteins] protein WHERE  iron.Station != protein.Station","SELECT iron.Station AS Iron_Station, 
       protein.Station AS Protein_Station
FROM [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] AS iron,
     [446].[Iron-related_Proteins] AS protein
WHERE iron.Station != protein.Station
GROUP BY iron.Station, protein.Station
HAVING LEN(iron.Station) < 3;",YES,aggr-having
"SELECT  [PeptideSequence],  SUM([2_01 TotalArea]) AS CG2_01,  SUM([2_02 TotalArea]) AS CG2_02,  SUM([2_03 TotalArea]) AS CG2_03,  SUM([5_01 TotalArea]) AS CG5_01,  SUM([5_02 TotalArea]) AS CG5_02,  SUM([5_03 TotalArea]) AS CG5_03,  SUM([8_01 TotalArea]) AS CG8_01,  SUM([8_02 TotalArea]) AS CG8_02,  SUM([8_03 TotalArea]) AS CG8_03,  SUM([11_01 TotalArea]) AS CG11_01,  SUM([11_02 TotalArea]) AS CG11_02,  SUM([11_03 TotalArea]) AS CG11_03,   SUM([26_01 TotalArea]) AS CG26_01,  SUM([26_02 TotalArea]) AS CG26_02,  SUM([26_03 TotalArea]) AS CG26_03,  SUM([29_01 TotalArea]) AS CG29_01,  SUM([29_02 TotalArea]) AS CG29_02,  SUM([29_03 TotalArea]) AS CG29_03,  SUM([32_01 TotalArea]) AS CG32_01,  SUM([32_02 TotalArea]) AS CG32_02,  SUM([32_03 TotalArea]) AS CG32_03,  SUM([35_01 TotalArea]) AS CG35_01,  SUM([35_02 TotalArea]) AS CG35_02,  SUM([35_03 TotalArea]) AS CG35_03,  SUM([221_01 TotalArea]) AS CG221_01,  SUM([221_02 TotalArea]) AS CG221_02,  SUM([221_03 TotalArea]) AS CG221_03,  SUM([224_01 TotalArea]) AS CG224_01,  SUM([224_02 TotalArea]) AS CG224_02,  SUM([224_03 TotalArea]) AS CG224_03,  SUM([227_01 TotalArea]) AS CG227_01,  SUM([227_02 TotalArea]) AS CG227_02,  SUM([227_03 TotalArea]) AS CG227_03,  SUM([230_01 TotalArea]) AS CG230_01,  SUM([230_02 TotalArea]) AS CG230_02,  SUM([230_03 TotalArea]) AS CG230_03, SUM([242_01 TotalArea]) AS CG242_01,  SUM([242_02 TotalArea]) AS CG242_02,  SUM([242_03 TotalArea]) AS CG242_03,  SUM([245_01 TotalArea]) AS CG245_01,  SUM([245_02 TotalArea]) AS CG245_02,  SUM([245_03 TotalArea]) AS CG245_03,  SUM([248_01 TotalArea]) AS CG248_01,  SUM([248_02 TotalArea]) AS CG248_02,  SUM([248_03 TotalArea]) AS CG248_03,  SUM([251_01 TotalArea]) AS CG251_01,  SUM([251_02 TotalArea]) AS CG251_02,  SUM([251_03 TotalArea]) AS CG251_03 FROM  [412].[pep peak areas all oysters2.txt] GROUP BY  [PeptideSequence]","SELECT  [PeptideSequence],  SUM([2_01 TotalArea]) AS CG2_01,  SUM([2_02 TotalArea]) AS CG2_02,  SUM([2_03 TotalArea]) AS CG2_03,  SUM([5_01 TotalArea]) AS CG5_01,  SUM([5_02 TotalArea]) AS CG5_02,  SUM([5_03 TotalArea]) AS CG5_03,  SUM([8_01 TotalArea]) AS CG8_01,  SUM([8_02 TotalArea]) AS CG8_02,  SUM([8_03 TotalArea]) AS CG8_03,  SUM([11_01 TotalArea]) AS CG11_01,  SUM([11_02 TotalArea]) AS CG11_02,  SUM([11_03 TotalArea]) AS CG11_03,   SUM([26_01 TotalArea]) AS CG26_01,  SUM([26_02 TotalArea]) AS CG26_02,  SUM([26_03 TotalArea]) AS CG26_03,  SUM([29_01 TotalArea]) AS CG29_01,  SUM([29_02 TotalArea]) AS CG29_02,  SUM([29_03 TotalArea]) AS CG29_03,  SUM([32_01 TotalArea]) AS CG32_01,  SUM([32_02 TotalArea]) AS CG32_02,  SUM([32_03 TotalArea]) AS CG32_03,  SUM([35_01 TotalArea]) AS CG35_01,  SUM([35_02 TotalArea]) AS CG35_02,  SUM([35_03 TotalArea]) AS CG35_03,  SUM([221_01 TotalArea]) AS CG221_01,  SUM([221_02 TotalArea]) AS CG221_02,  SUM([221_03 TotalArea]) AS CG221_03,  SUM([224_01 TotalArea]) AS CG224_01,  SUM([224_02 TotalArea]) AS CG224_02,  SUM([224_03 TotalArea]) AS CG224_03,  SUM([227_01 TotalArea]) AS CG227_01,  SUM([227_02 TotalArea]) AS CG227_02,  SUM([227_03 TotalArea]) AS CG227_03,  SUM([230_01 TotalArea]) AS CG230_01,  SUM([230_02 TotalArea]) AS CG230_02,  SUM([230_03 TotalArea]) AS CG230_03, SUM([242_01 TotalArea]) AS CG242_01,  SUM([242_02 TotalArea]) AS CG242_02,  SUM([242_03 TotalArea]) AS CG242_03,  SUM([245_01 TotalArea]) AS CG245_01,  SUM([245_02 TotalArea]) AS CG245_02,  SUM([245_03 TotalArea]) AS CG245_03,  SUM([248_01 TotalArea]) AS CG248_01,  SUM([248_02 TotalArea]) AS CG248_02,  SUM([248_03 TotalArea]) AS CG248_03,  SUM([251_01 TotalArea]) AS CG251_01,  SUM([251_02 TotalArea]) AS CG251_02,  SUM([251_03 TotalArea]) AS CG251_03 FROM  [412].[pep peak areas all oysters2.txt] GROUP BY  [PeptideSequence]",NO,NO Error
