SQL_Statement,Char_Count,Word_Count,Query_Type,Tables,Table_Count,Join_Count,Aggregate,Nestedness_Level,Column_Count,Aggregate_Count,UDF_Count,Function_Count,Predicate_Count
"SELECT DISTINCT s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=1813 AND s.mjd=53903 AND s.fiberid=421)",170,23,SELECT,"['SPECOBJALL', 'PHOTOOBJALL']",2,1,NO,0,4,0,0,0,4
"SET PARSEONLY ON select top 10 objid,ra,dec,mode,clean,type,u,g,r,i,z into mydb.mytestv3 from photoobj 
where type = 0",118,15,SET,"['PHOTOOBJ', 'mydb.mytestv3']",2,0,NO,0,11,0,0,0,1
EXEC sp_helpdb @dbname= 'DemocratizingData_USDA',48,4,EXEC,[],0,0,NO,0,0,0,0,0,0
"SELECT TOP 1_x000D_
 s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, p.calibStatus_r, s.z, s.zErr, s.zWarning, s.class, s.z_noqso, s.zErr_noqso, s.zWarning_noqso, s.velDisp, s.velDispErr, s.velDispZ, s.velDispZErr, s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, p.expPhi_r, p.psfFlux_r_x000D_
FROM PhotoObjAll AS p_x000D_
 JOIN SpecObjAll AS s ON s.bestobjid = p.objid JOIN PlateX AS px on px.plateID = s.plateID_x000D_
WHERE _x000D_
 s.scienceprimary = 1_x000D_
 AND s.ra BETWEEN 351.1757441926667 AND 351.17741085933335_x000D_
 AND s.dec BETWEEN 14.607969033866667 AND 14.609635700533332_x000D_",1216,107,SELECT,"['SPECOBJALL', 'PLATEX', 'PHOTOOBJALL']",3,2,NO,0,67,0,0,0,5
 SELECT TOP 10 * FROM Star WHERE ra >= 60 AND ra <= 70 AND dec >= 10 AND run = 3557,83,22,SELECT,['STAR'],1,0,NO,0,1,0,0,0,4
"select top 1 objid, z, zerr, photoerrorclass from photoz where objid=1237679460286399613",88,11,SELECT,['PHOTOZ'],1,0,NO,0,4,0,0,0,1
"DECLARE @MaxZSep float set @MaxZSep=0.001; 
DECLARE @MaxZ float set @MaxZ=0.0576502;
DECLARE @ConvFact float set @ConvFact=3437.746771; 
DECLARE @IsoDistMPC float set @IsoDistMPC=0.05; 
DECLARE @Coef float set @Coef=@IsoDistMPC*@ConvFact 
SELECT mga.plateifu, mga.objra AS MGS_ra, mga.objdec AS MGS_dec, mga.nsa_z as MGS_z, n.objid as NGB_Id, n.distance as NGB_DistAM, ABS(mga.nsa_z-s.z) as Zsep, p.ra AS NGB_ra, p.dec AS NGB_dec, s.z as NGB_z, s.zWarning, s.class, s.subClass, ms.logMass_noMassLoss
FROM MyDB.MaNGA_Sources AS mga
  OUTER APPLY dbo.fGetNearbyObjEq(mga.objra, mga.objdec, @Coef/dbo.fCosmoDa(mga.nsa_z,0.27,0.73,0,-1,0.73)) AS n
LEFT JOIN PhotoObj AS p ON n.objid=p.objid
LEFT JOIN SpecObj s ON n.objid=s.bestObjID
LEFT JOIN stellarMassStarformingPort ms ON ms.specObjID = s.specObjID
WHERE mga.nsa_z > 0
AND (s.class = 'GALAXY' OR s.class = 'QSO') 
ORDER BY mga.plateifu",886,105,DECLARE,"['SPECOBJ', 'STELLARMASSSTARFORMINGPORT', 'PHOTOOBJ', 'MyDB.MaNGA_Non_AGN',dbo.fGetNearbyObjEq]",5,4,NO,0,14,0,2,2,6
"SELECT
    DB_NAME() AS [database_name],
    CONCAT(CAST(SUM(
        CAST( (size * 8.0/1024) AS DECIMAL(15,2) )
    ) AS VARCHAR(20)),' MB') AS [database_size]
FROM sys.database_files;",185,20,SELECT,['sys.database_files',1,0,YES,0,4,1,0,1,0
"SET PARSEONLY ON Select top 15 objid,ra,dec,clean,mode into mydb.mytestv1 from photoobj",87,11,SET,"['PHOTOOBJ', 'mydb.mytestv1']",2,0,NO,0,5,0,0,0,0
select dbo.fGetUrlFitsSpectrum(6628219032322725888) as url,58,4,SELECT,[],0,0,NO,0,0,0,1,1,0
" SELECT s.fiberid, s.plate, s.mjd, s.run2d, s.class FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid ",114,18,SELECT,"['SPECOBJ', 'PHOTOOBJ']",2,1,NO,0,5,0,0,0,1
"select top 1 objid, z, zerr, photoerrorclass from photoz where objid=1237648722307056074",88,11,SELECT,['PHOTOZ'],1,0,NO,0,4,0,0,0,1
 SELECT TOP 10 * FROM Star WHERE skyVersion = 2 AND run = 109 AND rerun = 301 AND camcol = 4 AND field = 39 AND obj = 102,121,30,SELECT,['STAR'],1,0,NO,0,1,0,0,0,6
"select a.objid,b.ra,b.dec,run,camcol,field into mydb.MyTable from myDB.sdssqso as a,photoobjall as b where a.objid=b.objid",122,12,SELECT,"['[myDB.sdssqso],[photoobjall]']",2,1,NO,0,6,0,0,0,1
select count(*) from photoobjall where run=4895 and camcol=4 and field=164,74,10,SELECT,['PHOTOOBJALL'],1,0,YES,0,1,1,0,1,3
