SQL_Statement,Char_Count,Word Count,Query Type,Tables,Table Count,Aggregate,Join Count,Nestedness Level,Column_Count,Aggregate_Count,UDF_Count,Function_Count,Predicate_Count
SELECT template_type_code FROM Templates GROUP BY template_type_code ORDER BY count(*) DESC LIMIT 1,99,13,SELECT,['TEMPLATES'],1,YES,0,0,1,1,0,1,0
"SELECT Population ,  LifeExpectancy FROM country WHERE Name  =  ""Brazil""",72,10,SELECT,['COUNTRY'],1,NO,0,0,2,0,0,0,1
"SELECT Maker ,  Model FROM MODEL_LIST;",38,6,SELECT,['MODEL_LIST'],1,NO,0,0,2,0,0,0,0
"SELECT count(*) ,  t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t2.name",106,19,SELECT,"['HIRING', 'SHOP']",2,YES,1,0,2,1,0,1,1
SELECT Name FROM teacher WHERE Teacher_id NOT IN (SELECT Teacher_id FROM course_arrange),88,12,SELECT,"['TEACHER','course_arrange']",2,NO,0,1,1,0,0,0,1
SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID ORDER BY t2.bonus DESC LIMIT 1,124,20,SELECT,"['EVALUATION', 'EMPLOYEE']",2,NO,1,0,1,0,0,0,1
SELECT T1.Name FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode GROUP BY T1.Name ORDER BY COUNT(*) DESC LIMIT 1,138,23,SELECT,"['COUNTRYLANGUAGE', 'COUNTRY']",2,YES,1,0,1,1,0,1,1
"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRLINES AS T2 ON T1.Airline  =  T2.uid WHERE T2.Airline = ""JetBlue Airways""",116,19,SELECT,"['FLIGHTS', 'AIRLINES']",2,YES,1,0,1,1,0,1,2
SELECT max(charge_amount) FROM Charges,38,4,SELECT,['Charges'],1,YES,0,0,1,1,0,1,0
SELECT LANGUAGE FROM countrylanguage GROUP BY LANGUAGE ORDER BY count(*) DESC LIMIT 1,85,13,SELECT,['COUNTRYLANGUAGE'],1,YES,0,0,1,1,0,1,0
"SELECT T1.series_name FROM TV_Channel AS T1 JOIN Cartoon AS T2 ON T1.id = T2.Channel WHERE T2.Title = ""The Rise of the Blue Beetle!"";",133,23,SELECT,"['TV_CHANNEL', 'CARTOON']",2,NO,1,0,1,0,0,0,2
SELECT city FROM employee WHERE age  <  30 GROUP BY city HAVING count(*)  >  1,78,15,SELECT,['EMPLOYEE'],1,YES,0,0,1,1,0,1,2
"SELECT COUNT(*) FROM ( SELECT T1.CountryId ,  COUNT(*) FROM COUNTRIES AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.CountryId HAVING count(*)  >  2 );",175,28,SELECT,"['COUNTRIES', 'CAR_MAKERS']",2,YES,1,1,1,3,0,3,2
SELECT T1.treatment_type_description FROM Treatment_types AS T1 JOIN Treatments AS T2 ON T1.treatment_type_code  =  T2.treatment_type_code GROUP BY T1.treatment_type_code ORDER BY sum(cost_of_treatment) ASC LIMIT 1,214,23,SELECT,"['TREATMENT_TYPES', 'TREATMENTS']",2,YES,1,0,1,1,0,1,1
"SELECT COUNT(T2.Language) FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T1.Name  =  ""Aruba""",127,18,SELECT,"['COUNTRYLANGUAGE', 'COUNTRY']",2,YES,1,0,1,1,0,1,2
"SELECT count(*) FROM country WHERE GovernmentForm  =  ""Republic""",64,8,SELECT,['COUNTRY'],1,YES,0,0,1,1,0,1,1
"SELECT DISTINCT T1.Region FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""English"" OR T2.Language  =  ""Dutch""",160,23,SELECT,"['COUNTRYLANGUAGE', 'COUNTRY']",2,NO,1,0,1,0,0,0,3
SELECT other_student_details FROM Students ORDER BY other_student_details DESC,78,8,SELECT,['STUDENTS'],1,NO,0,0,1,0,0,0,0
SELECT T2.name FROM Likes AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id GROUP BY T1.student_id HAVING count(*)  >=  2,128,21,SELECT,"['LIKES', 'HIGHSCHOOLER']",2,YES,1,0,1,1,0,1,2
SELECT avg(age) FROM visitor WHERE Level_of_membership  <=  4,61,8,SELECT,['VISITOR'],1,YES,0,0,1,1,0,1,1
"SELECT T2.transcript_date ,  T1.transcript_id FROM Transcript_Contents AS T1 JOIN Transcripts AS T2 ON T1.transcript_id  =  T2.transcript_id GROUP BY T1.transcript_id HAVING count(*)  >=  2",189,23,SELECT,"['TRANSCRIPT_CONTENTS', 'TRANSCRIPTS']",2,YES,1,0,2,1,0,1,2
SELECT count(DISTINCT template_id) FROM Documents,49,5,SELECT,['Documents'],1,YES,0,0,1,1,0,1,0
"SELECT count(*) ,  LOCATION FROM shop GROUP BY LOCATION",55,9,SELECT,['SHOP'],1,YES,0,0,2,1,0,1,0
"SELECT City ,  Country FROM AIRPORTS WHERE AirportName  =  ""Alton""",66,10,SELECT,['AIRPORTS'],1,NO,0,0,2,0,0,0,1
SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID GROUP BY T2.Conductor_ID HAVING COUNT(*)  >  1,142,21,SELECT,"['ORCHESTRA', 'CONDUCTOR']",2,YES,1,0,1,1,0,1,2
SELECT Model FROM CAR_NAMES GROUP BY Model ORDER BY count(*) DESC LIMIT 1;,74,13,SELECT,['CAR_NAMES'],1,YES,0,0,1,1,0,1,0
