SQL_Statement,Char_Count,Word_Count,Query_Type,Tables,Table_Count,Join_Count,Aggregate,Nestedness_Level,Column_Count,Aggregate_Count,UDF_Count,Function_Count,Predicate_Count
"create table Article (pubid int primary key,  journal text,  month text,  volume text,  number text)",100,15,CREATE,['ARTICLE'],1,0,NO,0,0,0,0,0,0
"SELECT  ROW_NUMBER() OVER (PARTITION BY TAIL_NUM ORDER BY  YEAR,  MONTH,  DAY_OF_MONTH,  ARR_TIME) ID,  ORIGIN,  DEST,  TAIL_NUM,  FL_NUM, DATEFROMPARTS(YEAR,  MONTH,  DAY_OF_MONTH) DATE, CARRIER,  DEP_TIME,  ARR_TIME,  DISTANCE,  AIR_TIME FROM  [372].[flights09] WHERE  TAIL_NUM != ''",285,32,SELECT,['[372].[FLIGHTS09]'],1,0,NO,0,16,0,0,0,1
"SELECT  [All Proteins], SUM (numuniquepepsCG242_01+numuniquepepsCG242_02+numuniquepepsCG242_03) AS [CG242 unique peps sum] FROM  [412].[Oyster 242 spec counts] GROUP BY  [All Proteins]",184,19,SELECT,['[412].[OYSTER'],1,0,YES,0,2,1,0,1,0
SELECT  * FROM  [446].[LineP_CAMERA_annotation] WHERE  Function_1 LIKE 'iron',77,8,SELECT,['[446].[LINEP_CAMERA_ANNOTATION]'],1,0,NO,0,1,0,0,0,1
"SELECT  iron.Station,  protein.Station FROM [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] iron ,  [446].[Iron-related_Proteins] protein WHERE  iron.Station != protein.Station",172,13,SELECT,"[446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv],['[446].[V2_GEOMICS_FE']",2,1,NO,0,2,0,0,0,1
"SELECT  [PeptideSequence],  SUM([2_01 TotalArea]) AS CG2_01,  SUM([2_02 TotalArea]) AS CG2_02,  SUM([2_03 TotalArea]) AS CG2_03,  SUM([5_01 TotalArea]) AS CG5_01,  SUM([5_02 TotalArea]) AS CG5_02,  SUM([5_03 TotalArea]) AS CG5_03,  SUM([8_01 TotalArea]) AS CG8_01,  SUM([8_02 TotalArea]) AS CG8_02,  SUM([8_03 TotalArea]) AS CG8_03,  SUM([11_01 TotalArea]) AS CG11_01,  SUM([11_02 TotalArea]) AS CG11_02,  SUM([11_03 TotalArea]) AS CG11_03,   SUM([26_01 TotalArea]) AS CG26_01,  SUM([26_02 TotalArea]) AS CG26_02,  SUM([26_03 TotalArea]) AS CG26_03,  SUM([29_01 TotalArea]) AS CG29_01,  SUM([29_02 TotalArea]) AS CG29_02,  SUM([29_03 TotalArea]) AS CG29_03,  SUM([32_01 TotalArea]) AS CG32_01,  SUM([32_02 TotalArea]) AS CG32_02,  SUM([32_03 TotalArea]) AS CG32_03,  SUM([35_01 TotalArea]) AS CG35_01,  SUM([35_02 TotalArea]) AS CG35_02,  SUM([35_03 TotalArea]) AS CG35_03,  SUM([221_01 TotalArea]) AS CG221_01,  SUM([221_02 TotalArea]) AS CG221_02,  SUM([221_03 TotalArea]) AS CG221_03,  SUM([224_01 TotalArea]) AS CG224_01,  SUM([224_02 TotalArea]) AS CG224_02,  SUM([224_03 TotalArea]) AS CG224_03,  SUM([227_01 TotalArea]) AS CG227_01,  SUM([227_02 TotalArea]) AS CG227_02,  SUM([227_03 TotalArea]) AS CG227_03,  SUM([230_01 TotalArea]) AS CG230_01,  SUM([230_02 TotalArea]) AS CG230_02,  SUM([230_03 TotalArea]) AS CG230_03, SUM([242_01 TotalArea]) AS CG242_01,  SUM([242_02 TotalArea]) AS CG242_02,  SUM([242_03 TotalArea]) AS CG242_03,  SUM([245_01 TotalArea]) AS CG245_01,  SUM([245_02 TotalArea]) AS CG245_02,  SUM([245_03 TotalArea]) AS CG245_03,  SUM([248_01 TotalArea]) AS CG248_01,  SUM([248_02 TotalArea]) AS CG248_02,  SUM([248_03 TotalArea]) AS CG248_03,  SUM([251_01 TotalArea]) AS CG251_01,  SUM([251_02 TotalArea]) AS CG251_02,  SUM([251_03 TotalArea]) AS CG251_03 FROM  [412].[pep peak areas all oysters2.txt] GROUP BY  [PeptideSequence]",1857,203,SELECT,['[412].[pep peak areas all oysters2.txt]'],1,0,YES,0,49,48,0,48,0
"SELECT CGI_ID, GOslim_bin FROM  [1123].[Cgigas-DEGlist-sql]deg left join [1123].[qDOD_Cgigas_GOslim_DISTINCT]sl on deg.baseMean=sl.CGI_ID",137,10,SELECT,"['[1123].[CGIGAS', '[1123].[QDOD_CGIGAS_GOSLIM_DISTINCT]SL']",2,1,NO,0,2,0,0,0,1
"SELECT  InterproEntry,  count(*) InterproIdHits  FROM  [826].[Ox_Fracy_uniqueIPRsperprotein] group by InterproEntry order by InterproIdHits DESC",144,13,SELECT,['[826].[OX_FRACY_UNIQUEIPRSPERPROTEIN]'],1,0,YES,0,2,1,0,1,0
"SELECT  geneDesc.* ,  methRatio.MethRatio FROM  [354].[TJGR_Gene_SPID_evalue_Description.txt] geneDesc ,  [354].[methylation_ratio_CG_gene] methRatio WHERE  geneDesc.Column1 = SUBSTRING(methRatio.GroupID,  CHARINDEX('CGI',  methRatio.GroupID),  LEN(methRatio.GroupID))",268,17,SELECT,"['[354].[TJGR_GENE_SPID_EVALUE_DESCRIPTION.TXT]','[354].[methylation_ratio_CG_gene]']",2,1,NO,0,2,0,0,0,1
"SELECT  * FROM  [1052].[Pile Point Currents 00-11.txt] maxebb ,  [1052].[Pile Point Currents 00-11.txt] slackebb WHERE  maxebb.date = slackebb.date AND  maxebb.current_intensity = 'Max Ebb' AND  slackebb.current_intensity like '%Slack%'",236,27,SELECT,['[1052].[PILE'],1,1,NO,0,1,0,0,0,3
