SQL_Statement,Equivalent_Queries,Equivalent or not,Modification_Method,Original,gpt4,gpt4_type,gpt3.5,gpt3.5_type,llama3,llama3_type,mistralai,mistralai_type,gemini,gemini_type
"SELECT  SUM(cnt) FROM ( SELECT  z, COUNT(DISTINCT x) AS cnt FROM ( SELECT a.follower AS x ,  b.followee AS z FROM  [354].[twitter_rv.6157841] a JOIN  [354].[twitter_rv.6157841] b ON a.followee = b.follower ) joined WHERE  z < 4000 GROUP BY  z --OPTION (MERGE JOIN ,  ORDER GROUP) ) joined_distinct","SELECT SUM(COUNT(DISTINCT a.follower)) AS Total_Distinct_Followers
FROM [354].[twitter_rv.6157841] a
JOIN [354].[twitter_rv.6157841] b ON a.followee = b.follower
WHERE b.followee < 4000
GROUP BY b.followee;",Equivalent,Nested_Join,YES,YES,Nested_Join,YES,Nested_Join,NO,Nested_Join,NO,Nested_Join,YES,Nested_Join
"WITH  pop AS (SELECT  [time],  [pop],  log([fsc_small],  10) as [fsc_small] FROM  [1059].[STATS_VIEW]) SELECT  * FROM  pop PIVOT ( SUM([fsc_small]) FOR  [pop] in ([beads],  [picoeuk],  [prochloro],  [synecho],  [pennates],  [unknown]) ) as pivot_table","SELECT *
FROM (
    SELECT [time], [pop], log([fsc_small], 10) as [fsc_small]
    FROM [1059].[STATS_VIEW]
) AS pop
PIVOT (
    SUM([fsc_small])
    FOR [pop] IN ([beads], [picoeuk], [prochloro], [synecho], [pennates], [unknown])
) as pivot_table;",Equivalent,Condition_Nested,YES,YES,Condition_Nested,YES,Condition_Nested,YES,CTEs,YES,Condition_Nested,YES,CTEs
"SELECT  * max(salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE  job_title like '%RESEAR%SR' AND  job_title not like '%APL%' AND  salary > 100000 ORDER BY  salary desc","SELECT MAX(CASE WHEN job_title LIKE '%RESEAR%SR' AND job_title NOT LIKE '%APL%' AND salary > 100000 THEN salary ELSE NULL END) AS max_salary,
       MIN(CASE WHEN job_title LIKE '%RESEAR%SR' AND job_title NOT LIKE '%APL%' AND salary > 100000 THEN salary ELSE NULL END) AS min_salary,
       AVG(CASE WHEN job_title LIKE '%RESEAR%SR' AND job_title NOT LIKE '%APL%' AND salary > 100000 THEN salary ELSE NULL END) AS avg_salary,
       COUNT(CASE WHEN job_title LIKE '%RESEAR%SR' AND job_title NOT LIKE '%APL%' AND salary > 100000 THEN salary ELSE NULL END) AS total_count
FROM [1314howe].[uw_salaries_2011.txt];",Equivalent,Case_Statement,YES,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,NO,Case_Statement,YES,Case_Statement
"SELECT  ROW_NUMBER() OVER (PARTITION BY TAIL_NUM ORDER BY  YEAR,  MONTH,  DAY_OF_MONTH,  ARR_TIME) ID,  ORIGIN,  DEST,  TAIL_NUM,  FL_NUM, DATEFROMPARTS(YEAR,  MONTH,  DAY_OF_MONTH) DATE, CARRIER,  DEP_TIME,  ARR_TIME,  DISTANCE,  AIR_TIME FROM  [372].[flights09] WHERE  TAIL_NUM != ''","SELECT ROW_NUMBER() OVER (PARTITION BY TAIL_NUM ORDER BY YEAR, MONTH, DAY_OF_MONTH, ARR_TIME) AS ID,
       sub.ORIGIN, 
       sub.DEST, 
       sub.TAIL_NUM, 
       sub.FL_NUM, 
       DATEFROMPARTS(sub.YEAR, sub.MONTH, sub.DAY_OF_MONTH) AS DATE, 
       sub.CARRIER, 
       sub.DEP_TIME, 
       sub.ARR_TIME, 
       sub.DISTANCE, 
       sub.AIR_TIME
FROM (
    SELECT *
    FROM [372].[flights09]
    WHERE TAIL_NUM != ''
) AS sub;",Equivalent,Condition_Nested,YES,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested
"SELECT max(salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE  job_title like '%RESEAR%SR' --AND  job_title not like '%APL%' --AND  salary > 100000 ORDER BY  salary desc","SELECT 
    MAX([2010 Gross Earnings]) AS max_salary, 
    MIN([2010 Gross Earnings]) AS min_salary, 
    AVG([2010 Gross Earnings]) AS avg_salary, 
    COUNT(*) 
FROM 
    [1314howe].[uw_salaries_2011.txt]
WHERE 
    [Job Title] LIKE '%RESEAR%SR' 
    --AND [Job Title] NOT LIKE '%APL%' 
    --AND [2010 Gross Earnings] > 100000 
ORDER BY 
    [2010 Gross Earnings] DESC;",Equivalent,Simplification,YES,YES,Simplification,YES,Simplification,YES,Simplification,NO,Simplification,YES,Simplification
"SELECT  [All Proteins], SUM (numuniquepepsCG242_01+numuniquepepsCG242_02+numuniquepepsCG242_03) AS [CG242 unique peps sum] FROM  [412].[Oyster 242 spec counts] GROUP BY  [All Proteins]","SELECT [All Proteins], SUM(numuniquepepsCG242_01 + numuniquepepsCG242_02 + numuniquepepsCG242_03) AS [CG242 unique peps sum]
FROM [412].[Oyster 242 spec counts] AS counts
WHERE EXISTS (
    SELECT 1
    FROM [412].[Oyster 242 spec counts] AS valid
    WHERE valid.[All Proteins] = counts.[All Proteins]
)
GROUP BY [All Proteins];",Equivalent,Condition_EXISTs,YES,YES,Condition_EXISTs,YES,Condition_Nested,YES,Condition_EXISTs,YES,Condition_EXISTs,YES,Condition_Nested
SELECT  * FROM  [446].[LineP_CAMERA_annotation] WHERE  Function_1 LIKE 'iron',"WITH FilteredData AS (
    SELECT * 
    FROM [446].[LineP_CAMERA_annotation] 
    WHERE Function_1 LIKE 'iron'
)
SELECT *
FROM FilteredData;",Equivalent,CTEs,YES,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs
"SELECT  iron.Station,  protein.Station FROM [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] iron ,  [446].[Iron-related_Proteins] protein WHERE  iron.Station != protein.Station","SELECT  iron.Station,  protein.Station FROM [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] iron ,  [446].[Iron-related_Proteins] protein WHERE  iron.Station = protein.Station",Not Equivalent,Operators,NO,NO,Operators,NO,Operators,NO,Operators,NO,Operators,NO,Operators
"SELECT  [PeptideSequence],  SUM([2_01 TotalArea]) AS CG2_01,  SUM([2_02 TotalArea]) AS CG2_02,  SUM([2_03 TotalArea]) AS CG2_03,  SUM([5_01 TotalArea]) AS CG5_01,  SUM([5_02 TotalArea]) AS CG5_02,  SUM([5_03 TotalArea]) AS CG5_03,  SUM([8_01 TotalArea]) AS CG8_01,  SUM([8_02 TotalArea]) AS CG8_02,  SUM([8_03 TotalArea]) AS CG8_03,  SUM([11_01 TotalArea]) AS CG11_01,  SUM([11_02 TotalArea]) AS CG11_02,  SUM([11_03 TotalArea]) AS CG11_03,   SUM([26_01 TotalArea]) AS CG26_01,  SUM([26_02 TotalArea]) AS CG26_02,  SUM([26_03 TotalArea]) AS CG26_03,  SUM([29_01 TotalArea]) AS CG29_01,  SUM([29_02 TotalArea]) AS CG29_02,  SUM([29_03 TotalArea]) AS CG29_03,  SUM([32_01 TotalArea]) AS CG32_01,  SUM([32_02 TotalArea]) AS CG32_02,  SUM([32_03 TotalArea]) AS CG32_03,  SUM([35_01 TotalArea]) AS CG35_01,  SUM([35_02 TotalArea]) AS CG35_02,  SUM([35_03 TotalArea]) AS CG35_03,  SUM([221_01 TotalArea]) AS CG221_01,  SUM([221_02 TotalArea]) AS CG221_02,  SUM([221_03 TotalArea]) AS CG221_03,  SUM([224_01 TotalArea]) AS CG224_01,  SUM([224_02 TotalArea]) AS CG224_02,  SUM([224_03 TotalArea]) AS CG224_03,  SUM([227_01 TotalArea]) AS CG227_01,  SUM([227_02 TotalArea]) AS CG227_02,  SUM([227_03 TotalArea]) AS CG227_03,  SUM([230_01 TotalArea]) AS CG230_01,  SUM([230_02 TotalArea]) AS CG230_02,  SUM([230_03 TotalArea]) AS CG230_03, SUM([242_01 TotalArea]) AS CG242_01,  SUM([242_02 TotalArea]) AS CG242_02,  SUM([242_03 TotalArea]) AS CG242_03,  SUM([245_01 TotalArea]) AS CG245_01,  SUM([245_02 TotalArea]) AS CG245_02,  SUM([245_03 TotalArea]) AS CG245_03,  SUM([248_01 TotalArea]) AS CG248_01,  SUM([248_02 TotalArea]) AS CG248_02,  SUM([248_03 TotalArea]) AS CG248_03,  SUM([251_01 TotalArea]) AS CG251_01,  SUM([251_02 TotalArea]) AS CG251_02,  SUM([251_03 TotalArea]) AS CG251_03 FROM  [412].[pep peak areas all oysters2.txt] GROUP BY  [PeptideSequence]","SELECT  [PeptideSequence],  SUM([2_01 TotalArea]) AS CG2_01,  SUM([2_02 TotalArea]) AS CG2_02,  SUM([2_03 TotalArea]) AS CG2_03,  SUM([5_01 TotalArea]) AS CG5_01,  SUM([5_02 TotalArea]) AS CG5_02,  SUM([5_03 TotalArea]) AS CG5_03,  SUM([8_01 TotalArea]) AS CG8_01,  SUM([8_02 TotalArea]) AS CG8_02,  SUM([8_03 TotalArea]) AS CG8_03,  SUM([11_01 TotalArea]) AS CG11_01,  SUM([11_02 TotalArea]) AS CG11_02,  SUM([11_03 TotalArea]) AS CG11_03,   SUM([26_01 TotalArea]) AS CG26_01,  MAX([26_02 TotalArea]) AS CG26_02,  SUM([26_03 TotalArea]) AS CG26_03,  SUM([29_01 TotalArea]) AS CG29_01,  SUM([29_02 TotalArea]) AS CG29_02,  SUM([29_03 TotalArea]) AS CG29_03,  SUM([32_01 TotalArea]) AS CG32_01,  SUM([32_02 TotalArea]) AS CG32_02,  SUM([32_03 TotalArea]) AS CG32_03,  SUM([35_01 TotalArea]) AS CG35_01,  SUM([35_02 TotalArea]) AS CG35_02,  SUM([35_03 TotalArea]) AS CG35_03,  SUM([221_01 TotalArea]) AS CG221_01,  SUM([221_02 TotalArea]) AS CG221_02,  SUM([221_03 TotalArea]) AS CG221_03,  SUM([224_01 TotalArea]) AS CG224_01,  SUM([224_02 TotalArea]) AS CG224_02,  SUM([224_03 TotalArea]) AS CG224_03,  SUM([227_01 TotalArea]) AS CG227_01,  SUM([227_02 TotalArea]) AS CG227_02,  SUM([227_03 TotalArea]) AS CG227_03,  SUM([230_01 TotalArea]) AS CG230_01,  SUM([230_02 TotalArea]) AS CG230_02,  SUM([230_03 TotalArea]) AS CG230_03, SUM([242_01 TotalArea]) AS CG242_01,  SUM([242_02 TotalArea]) AS CG242_02,  SUM([242_03 TotalArea]) AS CG242_03,  SUM([245_01 TotalArea]) AS CG245_01,  SUM([245_02 TotalArea]) AS CG245_02,  SUM([245_03 TotalArea]) AS CG245_03,  SUM([248_01 TotalArea]) AS CG248_01,  SUM([248_02 TotalArea]) AS CG248_02,  SUM([248_03 TotalArea]) AS CG248_03,  SUM([251_01 TotalArea]) AS CG251_01,  SUM([251_02 TotalArea]) AS CG251_02,  SUM([251_03 TotalArea]) AS CG251_03 FROM  [412].[pep peak areas all oysters2.txt] GROUP BY  [PeptideSequence]",Not Equivalent,Aggregate_Function,NO,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function
"SELECT CGI_ID, GOslim_bin FROM  [1123].[Cgigas-DEGlist-sql]deg left join [1123].[qDOD_Cgigas_GOslim_DISTINCT]sl on deg.baseMean=sl.CGI_ID","SELECT CGI_ID, GOslim_bin FROM  [1123].[Cgigas-DEGlist-sql]deg right join [1123].[qDOD_Cgigas_GOslim_DISTINCT]sl on deg.baseMean=sl.CGI_ID",Not Equivalent,Change_Join_Condition,NO,NO,Change_Join_Condition,NO,Change_Join_Condition,NO,Change_Join_Condition,NO,Change_Join_Condition,NO,Change_Join_Condition
